dataset,uniqueness_mean,uniqueness_p90,density_mean,density_p90,outlier_mean,outlier_p90,entropy,cluster_sep,n_samples,n_features
adult,1.0168515206660549,1.8693346483034199,1.5469974250425556,3.021575248651682,0.15309058355804364,0.2683546087454916,2.198098661968954,0.045421529561281204,48842,14
bankmarketing,2.413192751628657,4.799226093292238,0.7048017688689511,1.461213110827004,0.1729557027111824,0.286327450743992,0.6694757639220072,0.09501076489686966,30000,60
breastw,0.9780136250064281,2.321282819423247,2.825923365840386,6.618372224933682,0.1706131158579569,0.3696185703544685,2.264796037607574,0.5483446717262268,699,9
compas,0.4240250297863827,0.8394285728014012,5.190375866547005,11.817004659968783,0.14894261835501282,0.28497490972339884,2.2521077317438514,0.04050971195101738,6907,7
covtype,1.0499763213555018,1.519442701339722,1.0938939007875694,1.546397275660267,0.1284426256211064,0.24369267931905295,1.010559629467829,-4.1949893784476444e-05,30000,54
creditg,6.894446247339249,8.640538692474365,0.1509335741996815,0.19208649677608208,0.29950511305702754,0.48292572552057794,0.670867646709323,0.017617832869291306,1000,74
digits,4.717080263807565,5.912272548675538,0.23122297220491203,0.29760684156207384,0.1646019778929145,0.2787217097032283,2.41271250813381,0.10814550518989563,1797,64
electricity,0.41795532923912937,0.6545490804075431,3.344271720069849,6.192802659706396,0.12767563393970285,0.1965990888801639,1.8780333212672637,0.02697506733238697,30000,15
fashionmnist,15.309486268933615,23.008059692382815,0.07437636472341382,0.1064618296661383,0.12665835652678412,0.23482033818330192,3.272374258021425,0.027904877439141273,30000,784
gasdrift,1.0704007732169736,1.788604736328125,1.9597557167386646,3.6776568750962157,0.08047652673603652,0.1726094968716545,3.039467574595247,-0.09309513866901398,13910,128
gowalla,0.14236216121629935,0.324996905905158,34.87059003009431,131.83616519203593,0.06970904747868355,0.17553148881857716,2.159181139619639,0.09145654737949371,107092,6
har,13.600440176265518,18.517619323730468,0.07900585101486736,0.10342043041757928,0.13694867250668,0.24599244858981167,3.5103093003514774,0.030561886727809906,10299,561
ionosphere,3.2288687055097345,8.031858444213867,0.5805884085309184,1.1328652837474649,0.2197960035488112,0.5519781155388943,4.358640937375483,0.16445033252239227,351,34
jm1,0.642097521261695,1.316259050369263,7.744601563624668,30.346615677821738,0.06102094213751009,0.14927382251479618,1.0982213841543644,0.26007893681526184,10885,21
kc1,0.7419880158906019,1.9726896047592166,8.446241343737302,17.709553134308823,0.07530923246333271,0.19365951972165574,2.3598486294758074,0.35076284408569336,2109,21
letter,1.1892046571388841,1.7220649480819703,1.0250026593443196,1.4873211427819666,0.15054899280813727,0.23944515811621062,3.091877906763914,0.0036259323824197054,20000,16
magic,0.8107164356373158,1.423551494566627,1.4935340707487388,2.093485224015663,0.14256313731727713,0.2773154842165743,4.264091550852002,0.11591432988643646,19020,10
mnist,16.20088208337625,23.61699028015137,0.07779003397603917,0.12036803213505978,0.15041574371147412,0.26428048419127176,1.2392445356935924,-0.04497753828763962,30000,784
movielens,0.2282127360716076,0.3849840972439365,6.104595205162652,9.695966571159657,0.1013373680364415,0.23021951992435452,2.61180565747343,0.12282638996839523,6040,5
mushroom,3.758007744390468,4.460205078125,0.27675065930581705,0.3216704175545387,0.19225547727941614,0.2677946735611223,0.37899606467953156,0.09363918751478195,8124,138
nhanes,1.4652511599810774,2.1112836437156663,0.760598658678397,1.0785623937645907,0.17544858608400424,0.3388192488765965,4.147034604334875,0.09207918494939804,768,8
nomao,3.2354274359939494,7.1669036865234395,0.7730069006750722,1.6811607009302716,0.12081090817302567,0.2511629733145283,0.9824634910542366,0.12423425167798996,30000,203
optdigits,4.245279768268409,5.320828342437745,0.2560342421825983,0.32939488637281417,0.16601776662013734,0.2740687196771714,2.4166684967802006,0.11128776520490646,5620,64
pendigits,0.9268071616076616,1.3603571057319641,1.1991374093054388,1.687256919385444,0.18933326215850055,0.30571050476704614,4.8354515711712605,0.17069460451602936,10992,16
phoneme,0.3490879697496611,0.569915498851496,3.6827369867894757,5.8748688607125645,0.1548944531719829,0.274476075923038,4.72503758443538,0.08775179088115692,5404,5
purchase100,28.032370372125055,31.226607513427734,0.03597143275568507,0.04056883089533763,0.25897489729320144,0.3464438733592866,0.7508582571332902,-0.022467581555247307,197324,600
satimage,1.475134278289267,2.1606936216354375,0.7422291161332671,0.9962560335565496,0.18292306172953562,0.37187844262278297,4.920683902631292,0.18902264535427094,6430,36
segment,0.8592362087881152,1.3780885934829707,1.7925408768639717,3.1880119867414907,0.11081238435347854,0.20184540748029078,3.4997247267982803,0.19344279170036316,2310,19
spambase,3.2217888806758497,5.936814785003662,0.7286902513396193,2.3544755791385232,0.06981665117731856,0.13749991654539967,0.9339064276880965,0.04401804506778717,4601,57
texas100,55.7272809960062,110.5421760559082,0.02822193567041484,0.052390627142916465,0.13834420332082206,0.22567304419463496,0.01584943858034819,-0.22611460089683533,67330,6169
vehicle,1.6376170845037374,1.9975935816764832,0.650670202689829,0.8100733884079507,0.13899174790236443,0.22285714508554716,4.519945240463077,-0.013129646889865398,846,18
