dataset,Risk_D
adult,0.5807158906312873
bankmarketing,0.5984552558724132
breastw,0.5463582701162026
compas,0.6678432352575684
covtype,0.6735931462086437
creditg,0.7752301356008103
digits,0.6913411443462805
electricity,0.6133490392998796
fashionmnist,0.6752072628651423
gasdrift,0.5734130761037972
gowalla,0.5099028919799623
har,0.6365416090839608
ionosphere,0.6467097922553666
jm1,0.6390704633314189
kc1,0.5940790526299602
letter,0.6145708219799823
magic,0.6246766578914659
mnist,0.6567817820925501
movielens,0.5294325555907425
mushroom,0.5084414056319163
nhanes,0.7167082129625775
nomao,0.5602692633900508
optdigits,0.6408292095448684
pendigits,0.5795622761350381
phoneme,0.6022648396438889
purchase100,0.8475979681449518
satimage,0.6107860241856796
segment,0.5782509503884665
spambase,0.6096169222059236
texas100,0.8175820869498365
vehicle,0.7213133625012824
