dataset,uniqueness_mean,uniqueness_p90,density_mean,density_p90,outlier_mean,outlier_p90,entropy,cluster_sep,n_samples,n_features,disagree5,disagree20,risk,auc_shadow_model_xgboost,auc_loss_threshold_rf,auc_lira_xgboost,auc_lira_rf,auc_loss_threshold_xgboost,auc_shadow_model_rf,auc_shadow_model_mlp,auc_lira_mlp,auc_loss_threshold_mlp
adult,1.0168515206660549,1.86933464830342,1.5469974250425556,3.021575248651682,0.1530905835580436,0.2683546087454916,2.198098661968954,0.0454215295612812,48842.0,14.0,0.20446746652471234,0.21309733426149624,0.5807158906312873,0.5100218616493228,0.619958927689158,0.5565106640768278,0.8348746273156887,0.5071760922400157,0.6226558748793718,0.5184112017621174,0.5398633947315403,0.5169703713375429
bankmarketing,2.413192751628657,4.799226093292238,0.7048017688689511,1.461213110827004,0.1729557027111824,0.286327450743992,0.6694757639220072,0.0950107648968696,30000.0,60.0,0.13108666666666666,0.13762666666666667,0.5984552558724131,0.5154092805555556,0.6365444177777778,0.5949824695731378,0.8382239667274092,0.5176311422222222,0.6370113816666666,0.5308026183333334,0.5874264837733942,0.5280655422222222
breastw,0.978013625006428,2.321282819423247,2.825923365840386,6.618372224933682,0.1706131158579569,0.3696185703544685,2.264796037607574,0.5483446717262268,699.0,9.0,0.046065808297567956,0.053147353361945635,0.5463582701162026,0.5062433483422022,0.5511543184609087,0.5559274246797472,0.6651681515910142,0.5248628735161687,0.5523567335243552,0.5046786737617683,0.5349295097075228,0.5219033974621368
compas,0.4240250297863827,0.8394285728014012,5.190375866547005,11.817004659968784,0.1489426183550128,0.2849749097233988,2.2521077317438514,0.0405097119510173,6907.0,7.0,0.38966266106848124,0.40335891124945705,0.6678432352575684,0.604663494697846,0.7853373391482044,0.6951105325355706,0.9249837627814718,0.5983454968372542,0.7833824334084423,0.5318501102823239,0.5566850665975913,0.5302308810294112
covtype,1.0499763213555018,1.519442701339722,1.0938939007875694,1.546397275660267,0.1284426256211064,0.2436926793190529,1.010559629467829,-4.194989378447645e-05,30000.0,54.0,0.23857333333333333,0.322575,0.6735931462086437,0.5701293022222222,0.8043417977777778,0.7031428659386071,0.9770748491567078,0.5721928000000001,0.8032813022222223,0.5359099583333333,0.5556517335602569,0.5406137066666666
creditg,6.894446247339249,8.640538692474365,0.1509335741996815,0.192086496776082,0.2995051130570275,0.4829257255205779,0.670867646709323,0.0176178328692913,1000.0,74.0,0.3278,0.34235,0.7752301356008102,0.702884,0.8088019999999999,0.8466181878860224,0.9809443971540424,0.6791360000000001,0.820834,0.6856720000000001,0.7873926353672278,0.6647879999999999
digits,4.717080263807565,5.912272548675538,0.231222972204912,0.2976068415620738,0.1646019778929145,0.2787217097032283,2.41271250813381,0.1081455051898956,1797.0,64.0,0.04106844741235392,0.09707846410684474,0.6913411443462805,0.6042946134160451,0.7850420288813851,0.7641490817371094,0.9780608167100423,0.6094125866156654,0.781720316560593,0.5419362890219521,0.6109688644165201,0.546485701757211
electricity,0.4179553292391293,0.6545490804075431,3.344271720069849,6.192802659706396,0.1276756339397028,0.1965990888801639,1.8780333212672635,0.0269750673323869,30000.0,15.0,0.21476,0.26111,0.6133490392998796,0.5256205461111111,0.6992168044444445,0.5918643919061259,0.919480398399222,0.5258291088888889,0.6995754905555556,0.5192667588888888,0.521376752282457,0.5179111022222223
fashionmnist,15.309486268933616,23.008059692382815,0.0743763647234138,0.1064618296661383,0.1266583565267841,0.2348203381833019,3.272374258021425,0.0279048774391412,30000.0,784.0,0.19212,0.225195,0.6752072628651424,0.5838586138888888,0.6743070577777778,0.8313811004610175,0.9594531360390504,0.5794274711111111,0.6788478383333333,0.5544235022222224,0.6595474659528799,0.5556191800000001
gasdrift,1.0704007732169736,1.788604736328125,1.9597557167386648,3.677656875096216,0.0804765267360365,0.1726094968716545,3.039467574595247,-0.0930951386690139,13910.0,128.0,0.008871315600287562,0.026786484543493888,0.5734130761037971,0.529595145644616,0.6104110175251087,0.6046569463928905,0.7626416037148592,0.5265834953157326,0.611860414154669,0.5041845286609357,0.5090967191326435,0.5016878143927197
